UF,Cidade,Bairro,Latitude,Longitude,muni,people,income,density,consumer,cons_a_total,cons_b_current,cons_c_expenditure,cons_1_food,cons_2_housing,cons_3_clothing,cons_4_transport,cons_5_hygiene_care,cons_6_health,cons_7_education,cons_8_recreation,cons_9_tobacco,cons_10_personal_services,cons_12_others,cons_13_asset_increase,cons_14_liability_reduction,class_a1,class_a2,class_b1,class_b2,class_c,class_d,class_e,age_babies,age_kids,age_teens,age_young_adults,age_adults,age_middle_age,age_young_eldery,age_eldery,pop_active,pop_youngness,pop_oldness,areaid,clu_0_nome,clu_0_atv,clu_0_pct_over_avg,clu_1_nome,clu_1_atv,clu_1_pct_over_avg,clu_2_nome,clu_2_atv,clu_2_pct_over_avg,clu_3_nome,clu_3_atv,clu_3_pct_over_avg,clu_4_nome,clu_4_atv,clu_4_pct_over_avg,atv_1_cod,atv_1_nome,atv_1_atv,atv_1_examples,atv_2_cod,atv_2_nome,atv_2_atv,atv_2_examples,atv_3_cod,atv_3_nome,atv_3_atv,atv_3_examples,atv_4_cod,atv_4_nome,atv_4_atv,atv_4_examples,atv_5_cod,atv_5_nome,atv_5_atv,atv_5_examples,people2022,census_change,income_2022,income_2022_original,income_2010,income_2010_original,income_rate,cluster,pca_1,pca_2,cluster_nome
RJ,Rio de Janeiro,Copacabana,-22.971974,-43.1842997,RIO DE JANEIRO,6442,12700,228,28.6 MI,39141670,35349774,28560090,3658526,10532632,950582,5750814,526816,2583508,2064296,888924,65185,379396,1172614,6789680,2699217,892,1100,645,335,341,114,304,73,296,294,1424,1177,1473,787,917,0.6345153,0.4058484,2.5868626,1156453,Clínicas Estéticas,48,185,Bares,0,0,Consultórios médicos,85,705,Dentistas,26,469,Clínicas de Fisioterapia,14,604,DIV_47,Comércio,250,"ANBET OTICA LTDA
 FLORIPA INDUSTRIA E COMERCIO DE ROUPAS LTDA
 KBA COMERCIO DE ARTIGOS DO VESTUARIO E CALCADOS LTDA
 CITGM COMERCIO DE ROUPAS EIRELI
 GUATEMALA COMERCIO DE ARTIGOS DO VESTUARIO LTDA
 MODULACAO COMERCIO DE ROUPAS LTDA
 VEM CONVENIENCIA S.A.
 DAZIL RIO DISTRIBUIDORA DE COSMETICOS LTDA
 IPAMERI MINISTORE VARIEDADES E PAPELARIA LTDA
 TERRAMAZONIA COSMETICOS EIRELI",DIV_56,Alimentação,64,"DRI COFFEE TO GO LTDA
 INTERNACIONAL DISHES RESTAURANTE EIRELI
 ESPACO SUSHI RESTAURANTE EIRELI
 CHEF AIPIM RESTAURANTE EIRELI
 FAMILIA ITALIOCA LTDA
 DANYELLE LESSA DE BRITO 10470037750
 SASIPI COMERCIO DE ALIMENTOS EIRELI
 CAFETERIA E LANCHONETE SS ANDRADE EIRELI
 UIABAH COMERCIO DE ALIMENTOS LTDA
 BAR E RESTAURANTE PIERROT LTDA",,,,,,,,,,,,,5064,-21.39,12.700,11.200,12.000,5.160,6.44,2,12.518145020987722,-2.0590674611614044,Elite Socioeconômica
RJ,Rio de Janeiro,Ipanema,-22.9839557,-43.2022163,RIO DE JANEIRO,8829,16300,312,51.2 MI,71218846,63892912,51182786,6342701,18760994,1711480,10459102,877052,4588432,3856037,1624810,106653,678027,2198187,12710126,5358466,1836,1608,747,313,335,152,326,163,563,477,1950,1832,1868,947,1033,0.63812387,0.6470891,1.7437458,1156454,Consultórios médicos,111,543,Corretagem de imóveis,104,375,Dentistas,38,408,Psicólogos,18,459,Serviços de Eng e Arq,48,221,DIV_47,Comércio,325,"INFO BOX INFORMATICA EIRELI
 ATF3 COMERCIO E CONFECCAO EIRELI
 ALNX BOUTIQUE EIRELI
 EU ARTISTA COMERCIO DE ROUPAS E ACESSORIOS LTDA
 BRASILEIRINHA SOUVENIS E PRESENTES LTDA
 BOTTINO MATERIAIS DE CONSTRUCAO LTDA.
 BOTTINO MATERIAIS DE CONSTRUCAO LTDA.
 MAGIA DOS TONS CONFECCOES LTDA
 VEM CONVENIENCIA S.A.
 SONHO BAIANO PRESENTES EIRELI",DIV_56,Alimentação,86,"CRIA DA TERRA COMERCIO DE ALIMENTOS EIRELI
 BUFFET E CANTINA RGL EIRELI
 FIBRA TEA EXPERIENCE EIRELI
 DTM RESTAURANTE LTDA - FALIDA
 RUBINALDO JUSTINO 01672787700
 DELIRIUM IPANEMA COMERCIO DE BEBIDAS EIRELI
 BARAO DE AMOEDO RESTAURANTE BAR E LANCHONETE LTDA
 SODEXO DO BRASIL COMERCIAL S.A.
 SODEXO DO BRASIL COMERCIAL S.A.
 ALLMA ALIMENTOS LTDA",,,,,,,,,,,,,7882,-10.72,16.300,14.300,16.400,7.060,-0.64,2,23.27852255347451,-5.238234630154112,Elite Socioeconômica
RJ,Rio de Janeiro,Barra da Tijuca,-22.9997404,-43.3659929,RIO DE JANEIRO,17,22100,1,100.3 mil,138408,124758,100300,12637,36955,3285,20313,1760,9136,7369,3162,215,1327,4189,24458,9824,6,9,3,1,1,0,2,0,1,1,3,3,3,1,1,0.6252529,1.373587,1.050658,1156455,Ensino especializado,0,0,Lavanderias,0,0,Deliveries,0,0,"Cama, mesa e banho",0,0,Casas lotéricas,0,0,DIV_47,Comércio,0,,DIV_56,Alimentação,0,,,,,,,,,,,,,,46,177.45,22.100,19.500,19.900,8.590,10.89,0,-4.911402363819328,-1.6044740324376068,Perfil Intermediário (Grupo 0)
RJ,Rio de Janeiro,Tijuca,-22.9247351,-43.2327165,RIO DE JANEIRO,7333,8910,259,26.1 MI,34809390,31805547,26093917,3533456,9696543,867806,5136198,543063,2390265,1752620,782973,68372,349417,987017,5711630,2006051,460,992,830,512,538,161,97,114,401,396,1656,1351,1528,857,1052,0.614069,0.503038,2.254636,1156456,Dentistas,60,772,Consultórios médicos,113,611,Psicólogos,28,846,Clínicas de Fisioterapia,25,735,Clínicas Estéticas,71,180,DIV_47,Comércio,426,"APRC COMERCIO DE BIJUTERIAS EIRELI
 NSA & A3J ALIMENTOS  LTDA
 FLORIPA INDUSTRIA E COMERCIO DE ROUPAS LTDA
 BELAS & DELAS COMERCIO E SERVICOS EIRELI
 NME DUARTE COMERCIO DE ROUPAS LTDA
 BNS RACOES E MEDICAMENTOS PARA ANIMAIS EIRELI
 SOLUCAO PRODUTOS NATURAIS E ORGANICOS EIRELI
 OTICA GRANDE RIO CRO EIRELI
 SHEVA MODAS EIRELI
 CASA DO VIOLAO INSTRUMENTOS MUSICAIS LTDA",DIV_56,Alimentação,98,"RAZZ  LOGISTICA EM COQUETELARIA E EVENTOS EIRELI
 L H MEDEIROS LANCHONETE EIRELI
 MISTER FALAFEL RESTAURANTE E LANCHONETE EIRELI
 DANIEL MENDES STORTI 13491783739
 RESTAURANTE CARIOCA DEUTSCH LTDA
 CAFE E BAR PINTO LTDA
 LV ROCA COMERCIO DE ALIMENTOS LTDA
 MESA 4 EVENTOS, GASTRONOMIA E RESTAURANTE LTDA
 NAVE MAE LANCHONETE LTDA
 MASSA CALABRIA ALIMENTOS E BEBIDAS LTDA",,,,,,,,,,,,,6062,-17.34,8.910,7.860,9.210,3.970,-3.22,2,12.5522617456333,-0.06602266228312662,Elite Socioeconômica
RJ,Rio de Janeiro,Madureira,-22.871658,-43.3371976,RIO DE JANEIRO,1881,2910,67,2.2 MI,2682195,2526078,2206782,355342,861470,80753,383394,68069,192262,108115,55240,10222,29742,62743,319295,79186,5,30,94,118,225,188,129,42,217,175,428,386,361,160,113,0.62315565,1.6477205,0.67657876,1156457,Dentistas,44,633,Joalherias,27,575,Loja de brinquedos,24,898,Papelarias,32,737,Consultórios médicos,59,326,DIV_47,Comércio,848,"RVA BIJOUTERIAS  E ACESSORIOS DO VESTUARIO EIRELI
 KAMEB CAMA, MESA, BANHO E UTILIDADES EIRELI
 TOP 55 BIJOUTERIAS E ACESSORIOS DO VESTUARIO LTDA
 TRZP PECAS E ACESSORIOS EM GERAIS EIRELI
 BARONESA CONFECCOES EIRELI
 H. A. JUNIOR OTICA EIRELI
 NERY COMERCIO DE VARIEDADES EIRELI
 PAPELARIA E BAZAR GENIS EIRELI
 ZOOPS COMERCIO DE ROUPAS E ACESSORIOS EIRELI
 MORGENSZTERN & FILHO EIRELI",DIV_56,Alimentação,114,"SERVEMERC SERVICOS E MERCADORIAS PAPELARIA EIRELI
 MERCATO EXPRESS HOLDING DE PARTICIPACAO LTDA
 DPG RESTAURANTE EIRELI
 TANIA LANCHES LTDA
 RESTAURANTE MARIA E JOSE DE MADUREIRA LTDA
 R&E ROZENO LANCHES LTDA
 CARLOS AUGUSTO OLIVEIRA NASCIMENTO 39951952704
 ENCONTRO CARIOCA LANCHES LTDA
 MIGUEL ARCANJO LANCHERIA E CAFETERIA LTDA
 LAS VEGAS SERVICOS DE BUFFET E INTERMEDIACAO DE NEGOCIOS LTDA",,,,,,,,,,,,,1485,-21.07,2.910,2.570,3.070,1.320,-5.26,0,-2.247895051583761,1.4766354477340338,Perfil Intermediário (Grupo 0)
RJ,Rio de Janeiro,Campo Grande,-22.902953,-43.5591295,RIO DE JANEIRO,538,4310,19,1 MI,1325009,1233704,1043805,155344,397469,35378,193687,26683,95544,59860,28859,3693,14043,33842,189898,53139,5,51,46,44,71,41,25,11,38,42,129,105,112,55,43,0.6414606,0.96389955,1.1510365,1156458,Óticas,105,1968,Dentistas,68,1067,Consultórios médicos,55,309,Joalherias,19,389,Livrarias,10,444,DIV_47,Comércio,761,"S B MARQUES COMERCIO DE ARTIGOS DO VESTUARIO E ACESSORIOS LTDA
 EDITORA MACHADO DE ASSIS DE CAMPO GRANDE EIRELI
 ANGELA C. RIBEIRO ROUPAS E ACESSORIOS LTDA
 LULLE COMERCIO  OTICO EIRELI
 HAIKAL COMERCIO DE ARTIGOS DE ARMARINHO EIRELI
 LEANDRO CARVALHO COMERCIO DE SORVETES EIRELI
 MALAGUETA MODA FESTA EIRELI
 VANIA ALVES DO ROSARIO 01814165738
 FLORIPA INDUSTRIA E COMERCIO DE ROUPAS LTDA
 FLORIPA INDUSTRIA E COMERCIO DE ROUPAS LTDA",DIV_56,Alimentação,109,"JU & ANA COMERCIO DE ALIMENTOS LTDA
 L S MACHADO RESTAURANTE LTDA
 MERCATO EXPRESS HOLDING DE PARTICIPACAO LTDA
 MERCATO EXPRESS HOLDING DE PARTICIPACAO LTDA
 LANCHONETE TOP DE CAMPO GRANDE EIRELI
 JACIRA GOMES VELLOZO 86576003749
 MARIA DO SOCORRO SILVA DO NASCIMENTO 00617340714
 PASTELARIA ESMERALDA DE CAMPO GRANDE LTDA
 DOMINIQUE FEU GRANCER SILVA OLIVEIRA 05800495742
 EMPORIO COSTA CAFETERIA LTDA",,,,,,,,,,,,,372,-30.85,4.310,3.800,5.090,2.190,-15.19,0,-4.132372379317117,-0.4550437605225482,Perfil Intermediário (Grupo 0)
RJ,Rio de Janeiro,Botafogo,-22.9515096,-43.1862969,RIO DE JANEIRO,9487,13100,336,43.1 MI,59061948,53378580,43130729,5531648,15895361,1429645,8692195,794779,3916782,3112615,1342813,97568,573567,1764795,10247849,4028446,1235,1642,961,454,427,134,165,209,611,560,2619,2093,1849,738,813,0.69204706,0.9845026,1.2452656,1156459,Ensino especializado,57,244,Serviços de Tecnologia,23,380,Consultórios médicos,20,282,Academias,8,421,Serviços de Eng e Arq,13,187,DIV_47,Comércio,56,"MIALLEGRA FRANQUEADORA LTDA
 RENAN CERQUEIRA DE SOUZA 11405862700
 MATHEUS CASTRO DE AZEVEDO 18909595701
 AURA ELIXIR BANHOS ENERGETICOS LTDA
 MARCEL FERREIRA LEITE 11799370747
 FRUTAS & ETC COMERCIO DE COMESTIVEIS E HORTIFRUTIGRANJEIROS LTDA
 ELIANE DA SILVA FERREIRA 09215279423
 REBECA PICANCO RODRIGUES 11719950750
 AUGUSTO MELLO FRANCO BANDEIRA DE FREITAS 08483267764
 GABRIELLE VILELA DE SOUZA 14391330776",DIV_56,Alimentação,42,"CHURRASCARIA BONFIM - EIRELI
 EC JAPONES RESTAURANTE  LTDA
 BOTAFOGO GRILL LTDA
 TT BURGER ALIMENTOS LTDA
 SEDENTOS RESTAURANTE LTDA
 CRUZ ELENA CAMACHO ARISTIZABAL 06112720752
 LUVINI CAFETERIA E LANCHONETE LTDA
 SIMONE FIGUEIREDO LOJA 91496217772
 MEGA SAO CLEMENTE CAFE E LANCHES LTDA
 RESTAURANTE BARTO BAR GALATICO LTDA",,,,,,,,,,,,,8888,-6.31,13.100,11.500,12.500,5.410,4.09,2,20.69742653445208,-2.273157858604456,Elite Socioeconômica
RJ,Rio de Janeiro,Bangu,-22.8753053,-43.4648805,RIO DE JANEIRO,981,4440,35,1.5 MI,1936874,1804085,1539315,233987,589946,54237,280652,41740,137126,85325,41310,5992,20726,48880,264769,77360,11,38,59,55,137,78,38,19,95,96,217,196,199,91,65,0.62403166,1.3480394,0.7838694,1156460,Óticas,20,1044,Dentistas,15,648,Joalherias,9,574,Bancos,4,507,Farmácias,16,438,DIV_47,Comércio,207,"H.HARMONY - COMERCIO ATACADISTA E VAREJISTA DE ARTIGOS DO VESTUARIO EIRELI
 LUMALU COMERCIO DE ROUPAS E ACESSORIOS EIRELI
 SHOPING DA CONQUISTA MAGAZINE EIRELI
 1 . DE MAIO FERRAGENS LTDA
 ISA FASHION COMERCIO DE ROUPAS EIRELI
 JOALHERIA DM MARTORELL COMERCIO DE JOIAS LTDA
 NATHALIA CONCEICAO DA SILVA 14971884742
 R B P 2001 DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA
 LNA INFORMATICA LTDA
 NANY MODAS LTDA",DIV_56,Alimentação,45,"V. W.  HUANG  RESTAURANTE E LANCHONETE - EIRELI
 TRIO DE OURO LOTERIAS LTDA
 ADAILSO GOMES DE OLIVEIRA 07907603714
 QUEZIA DO CARMO SILVA PIRES 12042777706
 ALINE CARLA DA SILVA GUIMARAES 05702361776
 JOLINELMA DIAS GALVAO 05276223700
 OLINA FRANCISCA DE CASTRO 61102806749
 CRISTIANE MELLO PARENTE DE SOUZA 05173656778
 ISALCO BANGU COMERCIO DE ALIMENTOS LTDA.
 NATALIA SPERDUTO MESSINA TINOCO MELO 11527976700",,,,,,,,,,,,,703,-28.32,4.440,3.920,4.310,1.860,2.99,0,-3.496083138660802,0.08928111596480845,Perfil Intermediário (Grupo 0)
RJ,Rio de Janeiro,Jacarepaguá,-22.9531726,-43.3715825,RIO DE JANEIRO,251,979,9,120 mil,134876,129587,119959,21960,52399,4677,15906,4802,9455,3465,2427,863,1498,2502,9628,2275,0,0,1,5,21,39,59,17,68,30,73,40,17,3,0,0.52361304,27.861113,0.03486056,1156461,Clínicas Estéticas,3,203,Padarias,2,397,Bares,0,0,Deliveries,5,319,Serviços domésticos,4,453,DIV_47,Comércio,20,"RAIMUNDO NONATO DA SILVA 16428396718
 NATHIARA CRISTINA SILVA MELO 12690829738
 LUIZ CARLOS DO NASCIMENTO 07940559400
 MARCUS VINICIUS SANTOS DA SILVA 18157778778
 THIAGO SANTANA DA SILVA 13222100713
 RENATA LUCAS DOS SANTOS 10675893763
 PEDRO MURILO MARTINS RIBEIRO 19827587757
 AMANDA DA SILVA GUIMARAES 16909198760
 ROBERTO DA SILVEIRA AMARAL 02713517729
 ALAN DEIVYSON DOS SANTOS RIBEIRO 15849478701",DIV_56,Alimentação,10,"VANESSA CRISTINA ALMEIDA DOS SANTOS 12298006709
 ROGACIANO ANTONIO DA SILVA 59403705434
 SELMA MARIA MARCIANO 08128247760
 ALESSANDRA SANTANA MATHEUS 10202768783
 GLORIA DE OLIVEIRA 91888727772
 THIAGO DE OLIVEIRA CANDIDO 12113789779
 LETICIA DE ALMEIDA SILVA 11366046420
 MICHELLE SOBRAL ALVES 10920997783
 DOUGLAS FERREIRA ALMEIDA 09571864790
 ALESSANDRA LAGO SANTOS 01646114795",,,,,,,,,,,,,326,29.97,979,863,1.170,504,-16.23,0,-4.777879698706735,-0.06236710595047757,Perfil Intermediário (Grupo 0)
RJ,Rio de Janeiro,Méier,-22.90173,-43.2797093,RIO DE JANEIRO,3879,6750,137,9.4 MI,12221008,11278569,9411862,1345474,3534804,319734,1799062,222046,857655,583747,270064,28965,126685,328017,1866706,585454,102,309,406,284,341,146,190,77,262,244,884,778,864,390,411,0.6431007,0.76139766,1.4335872,1156462,Dentistas,45,622,Consultórios médicos,86,497,Serviços de contabilidade,41,419,Clínicas Estéticas,69,201,Psicólogos,17,533,DIV_47,Comércio,381,"G A DA SILVA COMERCIO DE COLCHOES EIRELI
 LINDA DE BONITA COSMETICOS EIRELI
 FLORIPA INDUSTRIA E COMERCIO DE ROUPAS LTDA
 FEMEA COMERCIO DE ARTIGOS FEMININOS EIRELI
 BELA FLOR LU EIRELI
 NOVOS INICIOS LIVRARIA E PAPELARIA EIRELI
 SOBRANCELHAS IMPERATOR COMERCIO E SERVICOS EIRELI
 FESTAS E SONHOS COMERCIO DE ARTIGOS PARA FESTAS EIRELI
 B.R.C. COMERCIO E SERVICOS ELETRONICOS EIRELI
 BAZAR CARIOCA LTDA",DIV_56,Alimentação,106,"ACAI COM CHANTILLY E SORVETERIA EIRELI
 SERVMAX COMERCIO E SERVICOS DE ALIMENTACAO LTDA
 WENCESLAU RESTAURANTE - EIRELI
 T-REX BAR E LANCHONETE EIRELI
 PATRICIA FURTADO VIANA 05666125770
 MORIA GRILL RESTAURANTE LTDA
 RESTAURANTE PRINCIPE DA ARABIA EIRELI
 JOELICE CAVALCANTE SANTOS 93930950510
 HAMBURGUERIA CAIENA LTDA
 JOAO GOMES FURTADO 02148642782",,,,,,,,,,,,,2839,-26.81,6.750,5.950,6.250,2.700,8.08,1,2.6399178669809205,1.4042979194643341,Polo de Alta Densidade Popular
